question,context,option,type,answer_length,answers_s3auf_mdeberta-v3-squad2-ft-busiQA-3ep,score_s3auf_mdeberta-v3-squad2-ft-busiQA-3ep,answers_s3auf/bert-finetuned-busiQA,score_s3auf/bert-finetuned-busiQA,answers_timpal0l/mdeberta-v3-base-squad2,score_timpal0l/mdeberta-v3-base-squad2,ranked_answer,ranked_score
What is your company's primary method for managing project tasks and deadlines?,"We primarily use Asana as our project management software to manage tasks and deadlines.
","Project Management Software (Asana, Trello, Jira, etc.)",SINGLE_SELECT,short_answer,"{'answer': ' Asana', 'answer_start': 16, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.993471086025238, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Asana', 'answer_start': 17, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.7868465185165405, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' Asana', 'answer_start': 16, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9891381859779358, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' Asana', 'answer_start': 16, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.993471086025238
What is your company's primary method for managing project tasks and deadlines?,"We mainly use Google Sheets to track project tasks and deadlines.
","Spreadsheet Software (Excel, Google Sheets, etc.)",SINGLE_SELECT,short_answer,"{'answer': ' Google Sheets', 'answer_start': 13, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9968886971473694, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Sheets', 'answer_start': 21, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.3371002972126007, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' Google Sheets', 'answer_start': 13, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9964959621429443, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' Google Sheets', 'answer_start': 13, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9968886971473694
What is your company's primary method for managing project tasks and deadlines?,"We primarily rely on email and our shared team calendar to manage project tasks and deadlines.


",Email and Calendar,SINGLE_SELECT,short_answer,"{'answer': ' email and our shared team calendar', 'answer_start': 20, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.3987374007701874, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'deadlines', 'answer_start': 84, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4277598559856415, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' email', 'answer_start': 20, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.8596349358558655, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' email', 'answer_start': 20, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.8596349358558655
What is your company's primary method for managing project tasks and deadlines?,"We use a combination of methods;  project management software for larger projects and spreadsheets for smaller, simpler tasks.  We also utilize our shared team calendar for scheduling and reminders.


",Combination of methods,SINGLE_SELECT,short_answer,"{'answer': ' shared team calendar', 'answer_start': 147, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.20874615013599396, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'spreadsheets', 'answer_start': 86, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.059582676738500595, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' project management software', 'answer_start': 33, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.3708968758583069, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' project management software', 'answer_start': 33, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.3708968758583069
What is your company's primary method for managing project tasks and deadlines?,"We use a Kanban board system, both physical and digital, as our primary method for managing project tasks and deadlines.
",Other,SINGLE_SELECT,short_answer,"{'answer': ' Kanban', 'answer_start': 8, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.5615560412406921, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Kanban', 'answer_start': 9, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.4440639615058899, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' Kanban board system,', 'answer_start': 8, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.7027857303619385, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' Kanban board system,', 'answer_start': 8, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.7027857303619385
Approximately how many projects is your company currently managing simultaneously?,"We're currently managing about 3 projects simultaneously.
",1-5,NUMBER,short_answer,"{'answer': ' 3', 'answer_start': 30, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9884840250015259, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '3', 'answer_start': 31, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.8111136555671692, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 3', 'answer_start': 30, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.8963443040847778, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 3', 'answer_start': 30, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9884840250015259
Approximately how many projects is your company currently managing simultaneously?,"We're juggling around 8 projects at the moment.


",6-10,NUMBER,short_answer,"{'answer': ' 8', 'answer_start': 21, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9923467040061951, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '8', 'answer_start': 22, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.6472940444946289, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 8', 'answer_start': 21, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.8944025039672852, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 8', 'answer_start': 21, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9923467040061951
Approximately how many projects is your company currently managing simultaneously?,"We're currently managing about 15 projects concurrently.


",11-20,NUMBER,short_answer,"{'answer': ' 15', 'answer_start': 30, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9925358295440674, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '15', 'answer_start': 31, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.9737975597381592, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 15', 'answer_start': 30, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9145074486732483, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 15', 'answer_start': 30, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9925358295440674
Approximately how many projects is your company currently managing simultaneously?,"We're managing over 25 projects simultaneously right now.


",Over 20,NUMBER,short_answer,"{'answer': ' over 25', 'answer_start': 14, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.8063797354698181, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '25', 'answer_start': 20, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.9614764451980591, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' over 25', 'answer_start': 14, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.6642627716064453, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': '25', 'answer_start': 20, 'model': 's3auf/bert-finetuned-busiQA'}",0.9614764451980591
Which project management features are most important to your organization?,"Task management and deadline tracking are absolutely essential for us.  Team collaboration features are also very important to ensure everyone is on the same page and working efficiently.  We also find progress reporting crucial for monitoring project health and making necessary adjustments.


","Task Management, Deadline Tracking, Progress Reporting, Team Collaboration, Resource Allocation, Risk Management, Budget Tracking",MULTI_SELECT,short_answer,"{'answer': 'Task management and deadline tracking', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.3530856966972351, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Task management', 'answer_start': 0, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.017082734033465385, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': 'Task management and deadline tracking', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.5338027477264404, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Task management and deadline tracking', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.5338027477264404
Which project management features are most important to your organization?,"For us, deadline tracking and progress reporting are critical for staying on schedule.  Team collaboration is also key, and we find the resource allocation features helpful for managing workloads effectively.  Budget tracking is another important aspect that we utilize.


","Deadline Tracking, Progress Reporting, Team Collaboration, Resource Allocation, Risk Management, Budget Tracking",MULTI_SELECT,short_answer,"{'answer': ' deadline tracking and progress reporting', 'answer_start': 7, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.509635329246521, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'deadline tracking', 'answer_start': 8, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.06182892248034477, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' deadline tracking and progress reporting', 'answer_start': 7, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.937172532081604, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' deadline tracking and progress reporting', 'answer_start': 7, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.937172532081604
Which project management features are most important to your organization?,"Progress reporting is vital for monitoring our projects.  Team collaboration features are essential for efficient teamwork, and we also find resource allocation and budget tracking very helpful in managing projects effectively.  Risk management is something we're working to integrate more effectively into our processes.



","Progress Reporting, Team Collaboration, Resource Allocation, Risk Management, Budget Tracking",MULTI_SELECT,short_answer,"{'answer': 'Progress reporting', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.12122587859630585, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Risk management', 'answer_start': 229, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.09192528575658798, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' resource allocation and budget tracking', 'answer_start': 140, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.26322266459465027, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' resource allocation and budget tracking', 'answer_start': 140, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.26322266459465027
Which project management features are most important to your organization?,"Team collaboration is paramount for our success.  We also rely heavily on resource allocation features to ensure efficient project execution and budget tracking to maintain fiscal responsibility.  Risk management is an area we're continually striving to improve.


","Team Collaboration, Resource Allocation, Risk Management, Budget Tracking",MULTI_SELECT,short_answer,"{'answer': ' resource allocation', 'answer_start': 73, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.28926312923431396, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Risk management', 'answer_start': 197, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.3828844130039215, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' resource allocation features', 'answer_start': 73, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.21451756358146667, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Risk management', 'answer_start': 197, 'model': 's3auf/bert-finetuned-busiQA'}",0.3828844130039215
Which project management features are most important to your organization?,"Resource allocation is crucial for efficient project management.  We also prioritize budget tracking to stay within our financial constraints, and risk management is something we're continuously working to improve and integrate better into our workflows.


","Resource Allocation, Risk Management, Budget Tracking",MULTI_SELECT,short_answer,"{'answer': ' budget tracking', 'answer_start': 84, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.19008782505989075, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'prioritize budget tracking', 'answer_start': 74, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.01719258725643158, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': 'Resource allocation', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.6670597195625305, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Resource allocation', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.6670597195625305
Which project management features are most important to your organization?,"Budget tracking is essential for us.  We're also placing increasing emphasis on risk management to proactively identify and mitigate potential problems.


","Risk Management, Budget Tracking",MULTI_SELECT,short_answer,"{'answer': ' risk management', 'answer_start': 79, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.24174997210502625, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'management', 'answer_start': 85, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.060538940131664276, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': 'Budget tracking', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.26923707127571106, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Budget tracking', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.26923707127571106
Which project management features are most important to your organization?,"Budget tracking is the most important project management feature for our organization.  Keeping projects on budget is a top priority.
",Budget Tracking,MULTI_SELECT,short_answer,"{'answer': 'Budget tracking', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.6397622227668762, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Budget tracking', 'answer_start': 0, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.09781567752361298, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': 'Budget tracking', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9552125930786133, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Budget tracking', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.9552125930786133
How satisfied are you with your company's current project management processes?,"We're very satisfied with our current project management processes; they're efficient and help us deliver projects on time and within budget.


",Very Satisfied,SINGLE_SELECT,short_answer,"{'answer': ' very satisfied', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9812191128730774, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'very satisfied with our current project management processes', 'answer_start': 6, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.016469085589051247, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' very satisfied', 'answer_start': 5, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.523178219795227, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' very satisfied', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9812191128730774
How satisfied are you with your company's current project management processes?,"We're satisfied with our current project management processes, although there's always room for improvement and streamlining.


",Satisfied,SINGLE_SELECT,short_answer,"{'answer': ' satisfied', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9890549182891846, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'streamlining', 'answer_start': 112, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.16066889464855194, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ""We're satisfied"", 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.5697121620178223, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' satisfied', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9890549182891846
How satisfied are you with your company's current project management processes?,"We feel pretty neutral about our current project management processes. They work, but we're not sure they're the most efficient they could be.


",Neutral,SINGLE_SELECT,short_answer,"{'answer': ' neutral', 'answer_start': 14, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.6706473231315613, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'most efficient', 'answer_start': 113, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.011700618080794811, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' neutral', 'answer_start': 14, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.4032949209213257, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' neutral', 'answer_start': 14, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.6706473231315613
How satisfied are you with your company's current project management processes?,"We're dissatisfied with our current project management processes; they're often inefficient and lead to missed deadlines.


",Dissatisfied,SINGLE_SELECT,short_answer,"{'answer': ' dissatisfied', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9906629323959351, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'dissatisfied', 'answer_start': 6, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.2023620754480362, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' dissatisfied', 'answer_start': 5, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.6948782801628113, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' dissatisfied', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9906629323959351
How satisfied are you with your company's current project management processes?,"We're very dissatisfied with our current project management processes.  They're causing significant problems with project delivery and need a major overhaul.
",Very Dissatisfied,SINGLE_SELECT,short_answer,"{'answer': ' very dissatisfied', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.8053207993507385, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'dissatisfied', 'answer_start': 11, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.21188198029994965, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' dissatisfied', 'answer_start': 10, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.18606193363666534, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' very dissatisfied', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.8053207993507385
Approximately what percentage of projects are completed on time and within budget?,"Approximately 40% of our projects are completed on time and within budget.


",Under 50%,NUMBER,short_answer,"{'answer': ' 40%', 'answer_start': 13, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9988070130348206, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '40', 'answer_start': 14, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.6097911596298218, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 40%', 'answer_start': 13, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9734981656074524, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 40%', 'answer_start': 13, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9988070130348206
Approximately what percentage of projects are completed on time and within budget?,"About 65% of our projects are completed on time and within budget.




",50-75%,NUMBER,short_answer,"{'answer': ' 65%', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9995850324630737, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '65', 'answer_start': 6, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.3829376697540283, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 65%', 'answer_start': 5, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9828979969024658, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 65%', 'answer_start': 5, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9995850324630737
Approximately what percentage of projects are completed on time and within budget?,"Approximately 80% of our projects are completed on time and within budget.




",76-90%,NUMBER,short_answer,"{'answer': ' 80%', 'answer_start': 13, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.9988261461257935, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '80', 'answer_start': 14, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.452597439289093, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 80%', 'answer_start': 13, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.9755877256393433, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' 80%', 'answer_start': 13, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.9988261461257935
Approximately what percentage of projects are completed on time and within budget?,"Over 95% of our projects are completed on time and within budget.
",Over 90%,NUMBER,short_answer,"{'answer': 'Over 95%', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.6399199962615967, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': '95%', 'answer_start': 5, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.21400444209575653, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' 95%', 'answer_start': 4, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.49496105313301086, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Over 95%', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.6399199962615967
What are the biggest challenges your company faces in project management?,"One of our biggest challenges is inadequate resource allocation; we sometimes struggle to dedicate the right people to the right tasks at the right time.  We also find that scope creep is a recurring issue that impacts project timelines and budgets.


","Lack of clear communication, Inadequate resource allocation, Poor task prioritization, Inadequate project planning, Scope creep, Lack of project visibility",MULTI_SELECT,short_answer,"{'answer': ' inadequate resource allocation;', 'answer_start': 32, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.41120877861976624, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'creep', 'answer_start': 179, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.20800267159938812, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': ' inadequate resource allocation;', 'answer_start': 32, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.8747782707214355, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': ' inadequate resource allocation;', 'answer_start': 32, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.8747782707214355
What are the biggest challenges your company faces in project management?,"Inadequate project planning is a significant challenge; we sometimes find ourselves scrambling to catch up later in the process.  Scope creep is also a persistent issue, as is poor task prioritization, which leads to wasted time and effort on lower-priority tasks.




","Inadequate resource allocation, Poor task prioritization, Inadequate project planning, Scope creep, Lack of project visibility",MULTI_SELECT,short_answer,"{'answer': 'Inadequate project planning', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.43950581550598145, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Inadequate project planning', 'answer_start': 0, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.06968490034341812, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': 'Inadequate project planning', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.8828616738319397, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Inadequate project planning', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.8828616738319397
What are the biggest challenges your company faces in project management?,"Poor task prioritization is a recurring problem, leading to inefficiencies. Inadequate project planning contributes to this, as does scope creep, which throws off schedules and budgets.  We could also improve the visibility we have into individual project progress.




","Poor task prioritization, Inadequate project planning, Scope creep, Lack of project visibility",MULTI_SELECT,short_answer,"{'answer': 'Poor task prioritization', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.6900874376296997, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Inadequate project planning', 'answer_start': 76, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.04039829596877098, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': 'Poor task prioritization', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.7717217206954956, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Poor task prioritization', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.7717217206954956
What are the biggest challenges your company faces in project management?,"Inadequate project planning is a major hurdle, often leading to unforeseen challenges and delays.  Scope creep is another significant problem, and  we also struggle with a lack of project visibility across the organization; it's difficult to get a clear, real-time overview of progress.


","Inadequate project planning, Scope creep, Lack of project visibility",MULTI_SELECT,short_answer,"{'answer': 'Inadequate project planning', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.4168499708175659, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'Inadequate project planning', 'answer_start': 0, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.05171237885951996, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': 'Inadequate project planning', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.7799702882766724, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Inadequate project planning', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}",0.7799702882766724
What are the biggest challenges your company faces in project management?,"Scope creep is a constant battle, and we're always working to define project scopes more rigidly.  Related to that, a lack of project visibility makes it difficult to track progress and address issues proactively.


","Scope creep, Lack of project visibility",MULTI_SELECT,short_answer,"{'answer': 'Scope creep', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'score': 0.4132903218269348, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}","{'answer': 'creep', 'answer_start': 6, 'model': 's3auf/bert-finetuned-busiQA'}","{'score': 0.01684495620429516, 'model': 's3auf/bert-finetuned-busiQA'}","{'answer': 'Scope creep', 'answer_start': 0, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'score': 0.16499820351600647, 'model': 'timpal0l/mdeberta-v3-base-squad2'}","{'answer': 'Scope creep', 'answer_start': 0, 'model': 's3auf/mdeberta-v3-squad2-ft-busiQA-3ep'}",0.4132903218269348
